timestamp,open,high,low,close,volume
2023-01-01 00:00:00+00:00,1195.25,1196.0,1191.87,1193.35,9613.81371372
2023-01-01 01:00:00+00:00,1193.32,1195.67,1193.02,1195.11,5403.27538529
2023-01-01 02:00:00+00:00,1195.11,1196.03,1193.25,1194.76,5062.20751443
2023-01-01 03:00:00+00:00,1194.71,1194.76,1190.95,1193.09,7403.87932192
2023-01-01 04:00:00+00:00,1192.99,1193.26,1190.03,1192.16,7299.3808748
2023-01-01 05:00:00+00:00,1192.15,1193.83,1191.76,1193.44,4569.81719058
2023-01-01 06:00:00+00:00,1193.44,1194.42,1192.96,1193.87,4219.71181283
2023-01-01 07:00:00+00:00,1193.88,1194.95,1192.07,1194.27,4551.4992743
2023-01-01 08:00:00+00:00,1194.22,1195.27,1193.21,1193.49,2388.30704936
2023-01-01 09:00:00+00:00,1193.49,1195.94,1193.02,1195.59,2430.11951877
2023-01-01 10:00:00+00:00,1195.53,1196.5,1194.58,1196.31,1660.05785054
2023-01-01 11:00:00+00:00,1196.31,1196.93,1194.94,1195.72,2175.34887986
2023-01-01 12:00:00+00:00,1195.71,1198.11,1195.12,1196.6,3601.17559158
2023-01-01 13:00:00+00:00,1196.6,1196.87,1192.75,1194.54,4415.87821121
2023-01-01 14:00:00+00:00,1194.57,1195.43,1193.67,1194.02,2133.46090594
2023-01-01 15:00:00+00:00,1194.02,1196.31,1193.51,1196.07,2674.46229604
2023-01-01 16:00:00+00:00,1196.07,1197.7,1195.01,1196.74,5188.21352624
2023-01-01 17:00:00+00:00,1196.65,1202.67,1196.53,1199.98,7495.23504539
2023-01-01 18:00:00+00:00,1200.03,1202.41,1199.97,1200.37,4655.83726899
2023-01-01 19:00:00+00:00,1200.42,1203.86,1200.33,1201.11,5596.63654724
2023-01-01 20:00:00+00:00,1201.2,1204.17,1200.69,1200.85,4379.36659279
2023-01-01 21:00:00+00:00,1200.89,1202.5,1199.91,1202.17,2915.37267617
2023-01-01 22:00:00+00:00,1202.17,1203.42,1199.66,1200.52,4228.97495414
2023-01-01 23:00:00+00:00,1200.42,1202.12,1198.71,1199.92,6084.30785752
2023-01-02 00:00:00+00:00,1199.97,1200.64,1196.83,1197.76,4906.47205698
2023-01-02 01:00:00+00:00,1197.76,1197.81,1192.41,1194.43,7163.68402272
2023-01-02 02:00:00+00:00,1194.49,1196.75,1193.56,1196.24,3424.31538256
2023-01-02 03:00:00+00:00,1196.12,1203.0,1195.82,1201.26,5314.91475138
2023-01-02 04:00:00+00:00,1201.27,1202.46,1199.23,1201.36,5348.03371674
2023-01-02 05:00:00+00:00,1201.35,1202.63,1199.58,1201.81,3611.93100492
2023-01-02 06:00:00+00:00,1201.78,1203.53,1199.86,1200.94,3945.52503781
2023-01-02 07:00:00+00:00,1200.93,1220.24,1200.61,1212.54,21924.17615607
2023-01-02 08:00:00+00:00,1212.54,1216.89,1211.87,1215.4,12247.06166821
2023-01-02 09:00:00+00:00,1215.42,1219.2,1215.02,1216.83,15869.1374405
2023-01-02 10:00:00+00:00,1216.9,1224.59,1216.07,1216.98,11383.68968683
2023-01-02 11:00:00+00:00,1216.92,1217.46,1213.57,1216.76,6206.84302424
2023-01-02 12:00:00+00:00,1216.72,1218.22,1215.75,1215.96,4631.91438615
2023-01-02 13:00:00+00:00,1215.97,1216.38,1213.09,1214.16,6204.24046391
2023-01-02 14:00:00+00:00,1214.19,1218.63,1214.16,1216.41,7097.17472191
2023-01-02 15:00:00+00:00,1216.32,1220.55,1215.04,1218.25,9819.52987927
2023-01-02 16:00:00+00:00,1218.26,1219.28,1215.65,1216.05,8389.45509364
2023-01-02 17:00:00+00:00,1216.06,1217.13,1215.21,1216.64,5221.8079663
2023-01-02 18:00:00+00:00,1216.6,1218.7,1216.16,1217.59,3984.8296455
2023-01-02 19:00:00+00:00,1217.64,1218.76,1216.63,1218.46,4732.51456918
2023-01-02 20:00:00+00:00,1218.36,1218.66,1215.97,1218.04,4956.68004572
2023-01-02 21:00:00+00:00,1218.04,1222.95,1217.58,1219.29,6156.51255433
2023-01-02 22:00:00+00:00,1219.21,1219.9,1210.81,1214.91,9622.89308433
2023-01-02 23:00:00+00:00,1214.93,1217.17,1212.16,1213.69,9017.68402771
2023-01-03 00:00:00+00:00,1213.77,1216.7,1212.51,1215.41,6290.24412934
2023-01-03 01:00:00+00:00,1215.43,1215.8,1211.03,1213.73,7647.17458155
2023-01-03 02:00:00+00:00,1213.73,1215.14,1212.7,1213.8,5327.58790995
2023-01-03 03:00:00+00:00,1213.8,1216.07,1212.59,1215.23,4797.99363567
2023-01-03 04:00:00+00:00,1215.25,1215.63,1212.84,1213.05,3870.77281093
2023-01-03 05:00:00+00:00,1213.22,1217.61,1213.07,1217.47,4686.39970695
2023-01-03 06:00:00+00:00,1217.47,1219.79,1216.16,1216.73,6673.22936822
2023-01-03 07:00:00+00:00,1216.73,1216.99,1214.97,1216.34,4071.42045891
2023-01-03 08:00:00+00:00,1216.33,1217.03,1213.74,1215.34,6322.89872804
2023-01-03 09:00:00+00:00,1215.41,1218.52,1215.33,1217.31,5513.95156958
